Варианты x_i,Частоты n_i,Относительные частоты w_i,"Процент, %"
1,25,0.2358490566037736,24.0%
2,31,0.29245283018867924,29.0%
3,31,0.29245283018867924,29.0%
4,19,0.1792452830188679,18.0%
