Варианты x_i,Частоты n_i,Относительные частоты w_i,"Процент, %"
1,14,0.1320754716981132,13.0%
2,41,0.3867924528301887,39.0%
3,33,0.3113207547169811,31.0%
4,18,0.16981132075471697,17.0%
