Варианты x_i,Частоты n_i,Относительные частоты w_i,"Процент, %"
1,20,0.18867924528301888,19.0%
2,34,0.32075471698113206,32.0%
3,36,0.33962264150943394,34.0%
4,16,0.1509433962264151,15.0%
