1. Пол,2. Возраст,3. Образование,4. Наличие брака,5. Средний доход за месяц,6. Членство в молодёжной организации,7. Посещение мероприятий культурной направленности,8. Посещение мероприятий политической направленности,9. Посещение мероприятий развлекательной направленности
Мужской,33-35,Среднее профессиональное,Да,44000,Нет,Часто,Постоянно,Никогда
Мужской,33-35,Высшее,Да,34000,Нет,Часто,Редко,Часто
Мужской,33-35,Среднее профессиональное,Да,15000,Нет,Часто,Никогда,Редко
Мужской,33-35,Высшее,Да,58000,Нет,Часто,Постоянно,Часто
Женский,21-23,Среднее общее,Да,24000,Нет,Часто,Часто,Часто
Женский,21-23,Среднее общее,Да,16000,Нет,Часто,Постоянно,Постоянно
Женский,18-20,Среднее общее,Да,18000,Нет,Часто,Часто,Часто
Женский,24-26,Среднее профессиональное,Да,20000,Нет,Часто,Часто,Часто
Женский,24-26,Среднее профессиональное,Да,20000,Нет,Постоянно,Постоянно,Постоянно
Женский,21-23,Среднее профессиональное,Нет,21000,Да,Постоянно,Редко,Часто
Женский,21-23,Среднее профессиональное,Нет,21000,Да,Часто,Редко,Часто
Женский,21-23,Среднее профессиональное,Нет,21000,Да,Постоянно,Редко,Часто
Мужской,24-26,Среднее профессиональное,Да,23000,Да,Редко,Редко,Редко
Мужской,24-26,Среднее профессиональное,Да,23000,Да,Редко,Редко,Редко
Мужской,24-26,Среднее профессиональное,Да,23000,Да,Постоянно,Редко,Редко
Мужской,24-26,Среднее профессиональное,Да,23000,Да,Часто,Никогда,Никогда
Женский,21-23,Среднее общее,Нет,24000,Да,Часто,Редко,Редко
Женский,21-23,Среднее общее,Нет,24000,Да,Часто,Редко,Редко
Женский,21-23,Среднее общее,Нет,24000,Да,Никогда,Редко,Редко
Женский,21-23,Среднее общее,Нет,24000,Да,Никогда,Редко,Редко
Мужской,27-29,Высшее,Нет,25000,Да,Постоянно,Часто,Часто
Мужской,30-32,Высшее,Нет,26000,Нет,Редко,Часто,Часто
Мужской,30-32,Высшее,Нет,26000,Нет,Никогда,Постоянно,Постоянно
Женский,30-32,Высшее,Нет,26000,Нет,Никогда,Постоянно,Постоянно
Женский,24-26,Среднее профессиональное,Да,27000,Нет,Часто,Редко,Редко
Женский,24-26,Среднее профессиональное,Да,27000,Нет,Постоянно,Редко,Редко
Мужской,27-29,Среднее профессиональное,Да,28000,Нет,Редко,Редко,Редко
Женский,18-20,Среднее общее,Нет,30000,Да,Часто,Редко,Редко
Мужской,30-32,Высшее,Да,31000,Нет,Редко,Постоянно,Постоянно
Мужской,27-29,Высшее,Нет,25000,Да,Часто,Часто,Часто
Мужской,27-29,Высшее,Нет,25000,Да,Часто,Часто,Часто
Мужской,30-32,Высшее,Нет,26000,Нет,Редко,Часто,Часто
Мужской,30-32,Высшее,Нет,26000,Нет,Редко,Часто,Часто
Женский,24-26,Среднее профессиональное,Да,27000,Нет,Часто,Редко,Редко
Женский,24-26,Среднее профессиональное,Да,27000,Нет,Часто,Редко,Редко
Мужской,27-29,Среднее профессиональное,Да,28000,Нет,Редко,Редко,Редко
Мужской,27-29,Среднее профессиональное,Да,28000,Нет,Редко,Редко,Редко
Женский,24-26,Среднее профессиональное,Да,29000,Да,Часто,Часто,Редко
Женский,24-26,Среднее профессиональное,Да,29000,Да,Часто,Часто,Редко
Женский,18-20,Среднее общее,Нет,30000,Да,Часто,Редко,Редко
Женский,18-20,Среднее общее,Нет,30000,Да,Часто,Редко,Редко
Мужской,30-32,Высшее,Да,31000,Нет,Редко,Редко,Редко
Мужской,33-35,Высшее,Да,32000,Нет,Никогда,Часто,Часто
Женский,18-20,Среднее общее,Нет,Нет,Да,Никогда,Никогда,Никогда
Женский,18-20,Среднее общее,Нет,Нет,Нет,Никогда,Никогда,Часто
Мужской,27-29,Среднее профессиональное,Да,Нет,Да,Часто,Редко,Никогда
Женский,33-35,Высшее,Да,40000,Нет,Редко,Редко,Никогда
Женский,18-20,Среднее общее,Нет,Нет,Нет,Часто,Часто,Никогда
Мужской,21-23,Среднее общее,Нет,Нет,Нет,Редко,Часто,Никогда
Мужской,18-20,Среднее общее,Нет,Нет,Нет,Редко,Постоянно,Никогда
Женский,18-20,Среднее общее,Нет,Нет,Да,Редко,Часто,Часто
Мужской,21-23,Среднее общее,Нет,17000,Да,Никогда,Никогда,Редко
Женский,33-35,Высшее,Да,37000,Нет,Редко,Постоянно,Никогда
Мужской,21-23,Среднее общее,Нет,21000,Да,Никогда,Никогда,Редко
Женский,33-35,Высшее,Да,35000,Нет,Редко,Никогда,Постоянно
Мужской,21-23,Среднее профессиональное,Нет,22000,Нет,Никогда,Никогда,Редко
Женский,33-35,Высшее,Да,33000,Нет,Постоянно,Никогда,Постоянно
Мужской,21-23,Среднее профессиональное,Нет,23000,Нет,Никогда,Никогда,Редко
Женский,33-35,Высшее,Да,32000,Нет,Постоянно,Никогда,Постоянно
Мужской,21-23,Среднее профессиональное,Нет,25000,Нет,Никогда,Никогда,Постоянно
Женский,33-35,Высшее,Да,30000,Нет,Редко,Никогда,Часто
Мужской,21-23,Среднее профессиональное,Нет,26000,Нет,Редко,Никогда,Часто
Женский,18-20,Среднее общее,Нет,Нет,Да,Никогда,Никогда,Часто
Женский,18-20,Среднее общее,Нет,Нет,Нет,Никогда,Никогда,Часто
Мужской,21-23,Среднее общее,Нет,15000,Да,Никогда,Никогда,Никогда
Женский,33-35,Высшее,Да,29000,Нет,Редко,Никогда,Постоянно
Мужской,21-23,Среднее общее,Нет,16000,Да,Никогда,Никогда,Редко
Мужской,24-26,Среднее профессиональное,Да,Нет,Да,Часто,Редко,Никогда
Женский,33-35,Высшее,Да,31000,Нет,Редко,Никогда,Часто
Женский,18-20,Среднее общее,Нет,Нет,Нет,Никогда,Никогда,Никогда
Женский,33-35,Высшее,Да,27000,Нет,Редко,Никогда,Постоянно
Мужской,21-23,Среднее общее,Нет,21000,Да,Никогда,Никогда,Редко
